honorific_prefix,name,id,state,party,email,phone,twitter,facebook_url,birth_date,gender,identifier__shineyoureye,image_url,website_url,other_names
,Nasir El Rufai,gov:mallam-nasir-el-rufai,Kaduna,All Progressives Congress,elrufai@aol.com,2348182222226,elrufai;GovKaduna,,1960-02-16,Male,nasir-el-rufai,http://www.shineyoureye.org/media_root/images/Kaduna_-_Nasir_El-Rufai.jpg,,Nasir El-Rufai
Dr,Umar Ganduje,gov:umar-danguje,Kano,All Progressives Congress,,08037862149,GovUmarGanduje,,1949-12-25,Male,umar-ganduje,http://www.shineyoureye.org/media_root/images/Kano_-_Umar_Ganduje.jpeg,,Umar Ganduje
,Aminu Masari,gov:aminu-masari,Katsina,All Progressives Congress,,2348035555888,GovernorMasari,,1950-05-29,Male,aminu-bello-masari,http://www.shineyoureye.org/media_root/images/Katsina_-_Aminu_Bello_Masari.jpg,,Aminu Bello Masari
,Atiku Bagudu,gov:atiku-bagudu,Kebbi,All Progressives Congress,,7030152466;08063496033;08035879790,AABagudu,,1961-12-28,Male,bagudu-abubakar-atiku,http://www.shineyoureye.org/media_root/images/Kebbi_-_Atiku_Bagudu.jpg,,Bagudu Abubakar Atiku
,Yahaya Adoza Bello,gov:yahaya-bello,Kogi,All Progressives Congress,info@kogistate.gov.ng,2348189679462,,,,Female,yahaya-bello,http://www.shineyoureye.org/media_root/images/Kogi_-_Yahaya_Bello_1.jpg,,
,Abdulrahman Abdulrazaq,gov-abdulrahman-abdulrazaq,Kwara,All Progressives Congress,,,RealAARahman,,,,,https://theyworkforyou.github.io/shineyoureye-images/Governors/gov-abdulrahman-abdulrazaq/original.jpeg,,
,Babajide Sanwo Olu,gov-babajide-sanwo-olu,Lagos,All Progressives Congress,,,,,,,,https://theyworkforyou.github.io/shineyoureye-images/Governors/gov-babajide-sanwo-olu/original.jpeg,,
,Abdullahi Sule,gov-abdullahi-sule,Nasarawa,All Progressives Congress,,,,,,,,https://theyworkforyou.github.io/shineyoureye-images/Governors/gov-abdullahi-sule/original.jpeg,,
,Abubakar Bello,gov:alhaji-abubakar-sani-lulu-bello,Niger,All Progressives Congress,,2348032000008,abusbello,,1967-12-17,Male,abubakar-sani-bello,http://www.shineyoureye.org/media_root/images/Niger_-_Abubakar_Sani_Bello.jpg,,Abubakar Sani Bello
,Dapo Abiodun,gov-dapo-abiodun,Ogun,All Progressives Congress,,,dabiodunMFR,,,,,https://theyworkforyou.github.io/shineyoureye-images/Governors/gov-dapo-abiodun/original.jpeg,,
,Oluwarotimi Akeredolu,gov:oluwarontimi-akeredolu,Ondo,All Progressives Congress,,,RotimiAkeredolu,,,,,https://theyworkforyou.github.io/shineyoureye-images/Governors/gov:oluwarontimi-akeredolu/original.jpeg,,
,Isiaka Adegboyega Oyetola,gov-isiaka-adegboyega-oyetola,Osun,All Progressives Congress,,,GboyegaOyetola,,,,,https://theyworkforyou.github.io/shineyoureye-images/Governors/gov-isiaka-adegboyega-oyetola/original.jpeg,,
,Seyi Makinde,gov-seyi-makinde,Oyo,Peoples Democratic Party,,,seyimakinde,,,,,https://theyworkforyou.github.io/shineyoureye-images/Governors/gov-seyi-makinde/original.jpeg,,
Rt Hon,Simon Lalong,gov:simon-lalong,Plateau,All Progressives Congress,info@plateaustate.gov.ng,2348037036108,SimonLalong,,1963-05-05,Male,simon-lalong,http://www.shineyoureye.org/media_root/images/Plateau_-_Simon_Lalong.jpg,,
,Nyesom Wike,gov:nyesom-wike,Rivers,Peoples Democratic Party,,2348039600009,NyesomWike,,1967-08-24,Male,nyesom-wike,http://www.shineyoureye.org/media_root/images/Rivers_-_Nyesom_Wike.jpg,,
Hon,Aminu Tambuwal,gov:aminu-waziri-tambuwal,Sokoto,Peoples Democratic Party,,2348033155496,AWTambuwal,,1966-01-10,male,waziri-aminu-tambuwal,http://www.shineyoureye.org/media_root/images/waziri-aminu-tambuwal,,Waziri Aminu Tambuwal
Dr,Darius Ishaku,gov:darius-ishaku,Taraba,Peoples Democratic Party,,,dariusdishaku,,1954-07-30,Male,darius-ishaku,http://www.shineyoureye.org/media_root/images/Taraba_-_Darius_Ishaku.jpg,,
,Mai Mala Buni,gov-mai-mala-buni,Yobe,All Progressives Congress,,,,,,,,https://theyworkforyou.github.io/shineyoureye-images/Governors/gov-mai-mala-buni/original.jpeg,,
,Bello Mattawalle,gov-bello-mattawalle,Zamfara,Peoples Democratic Party,,,,,,,,https://theyworkforyou.github.io/shineyoureye-images/Governors/gov-bello-mattawalle/original.jpeg,,
