uuid,name,legislature_name,slug
b77bf509-47ad-4a86-9188-401e18312e42,HASSAN SALEH,House of Representatives,hassan-saleh
19333d94-5d10-4cb4-b94a-f919d6e090fa,HENRY ARCHIBONG,House of Representatives,henry-archibong
e5360427-1eee-4606-ada6-89ca337d3780,HENRY NWAWUBA,House of Representatives,henry-nwawuba
36f13d81-0781-45e7-b5de-0d5a71a9a69c,Hassan Omale,House of Representatives,hassan-omale
4473b1c4-0423-46c9-bef0-57f768caa0f0,Husaini Abubakar,House of Representatives,husaini-abubakar
0baf46e2-4521-4400-96f7-75137e68c6cb,Husseni Suleiman,House of Representatives,husseni-suleiman
40ac5b78-a4f2-45e3-b380-1d7ff585257e,IBORO EKANEM,House of Representatives,iboro-ekanem
7bd2a315-5a9f-495b-a766-d534c429a0da,IBRAHIM ABDULLAHI,House of Representatives,ibrahim-abdullahi
1f2fdde9-40ee-4fa3-956f-039b8c07448d,IBRAHIM DANMAZARI,House of Representatives,ibrahim-danmazari
ec925d92-5d97-477c-8b2a-c49064e7ffdc,IDAGBO OCHIGLEGOR,House of Representatives,idagbo-ochiglegor
54898789-b7ed-4933-ad91-f26aae2cef42,IDUMA IGARIWEY,House of Representatives,iduma-igariwey
bc3c9923-3157-4fbd-afe0-a0203e3f20d9,IKANI OKOLO,House of Representatives,ikani-okolo
ff16e23f-3be0-4a89-a263-4d974d9c3f24,IOREMBER WAYO,House of Representatives,iorember-wayo
94c7f532-97bf-411b-ba64-7a4cc612b97b,IROM MICHAEL,House of Representatives,irom-michael
356c08ec-a215-4f99-904a-3640b4cdf98a,ISAH MURTALA,House of Representatives,isah-murtala
746673b7-5fb2-4446-83ba-5f63b97028f1,Ibrahim Baba,House of Representatives,ibrahim-baba
e214e2b1-4555-4b24-8e0e-20756b28c34b,Ibrahim Isiaka,House of Representatives,ibrahim-isiaka
90960d4e-51fb-447b-bad5-5ff55391349a,Ismaila Hassan,House of Representatives,ismaila-hassan
fd172c3e-4a15-498f-96e6-71a6573759cc,Istifanus Gyang,House of Representatives,istifanus-gyang
a3c1d5ff-1271-484f-978a-11668e10b2fe,JACOBSON BARINEKA,House of Representatives,jacobson-barineka
75d9a145-030a-48cb-875e-789db11e6b63,JIBRIN SANTUMARI,House of Representatives,jibrin-santumari
79d811f8-36c2-4d9c-8cb2-c360f746c209,JIBRIN SATUMARI,House of Representatives,jibrin-satumari
11b0606e-4b96-4228-9ee4-c78b653283c0,JIMOH ABDUL,House of Representatives,jimoh-abdul
0c38ed75-9f5f-4821-998b-7d1537c761bd,JIMOH OJUGBELE,House of Representatives,jimoh-ojugbele
cc0c8ee4-5f23-4e20-8e71-9f9341f5e6cf,JOAN MRAKPOR,House of Representatives,joan-mrakpor
7d66426a-7fb1-4fb5-b111-4d8752365242,JOSEPH BAMGBOSE,House of Representatives,joseph-bamgbose
182dbeaa-91bb-4138-854a-e78f4cb44eaa,JOSEPH EDIONWELE,House of Representatives,joseph-edionwele
26b2faba-5957-49a2-a6d2-3645b0a0812e,Jerome Eke,House of Representatives,jerome-eke
c9662b95-206c-4a9c-aa6a-5dda5c8e6aa7,Jika Haliru,House of Representatives,jika-haliru
62874761-fd85-4dc5-a6bc-579b4f908086,Johnbull Shekarau,House of Representatives,johnbull-shekarau
0e6c09f3-3b92-4bf4-9163-3175f142bbd8,Johnson Oghuma,House of Representatives,johnson-oghuma
3e672fe3-54fd-4fe6-89d5-0bc6a34b0afc,KABIR SHAIBU,House of Representatives,kabir-shaibu
29dfc79f-bd7c-49ef-a31b-913faabe8e4e,KAYODE OLADELE,House of Representatives,kayode-oladele
b0057850-1a94-4576-aa0f-ed300209bb12,KWAMOTI LAORI,House of Representatives,kwamoti-laori
22c21b1b-5e7b-4d81-b849-7a82aebfda26,Kehinde Agboola,House of Representatives,kehinde-agboola
7d66d561-a926-41a3-9c6c-e72dad7eea98,Kurmi Gashaka,House of Representatives,kurmi-gashaka
54790a50-af87-4d4d-ab8d-0798351c0d41,LAZARUS OGBEE,House of Representatives,lazarus-ogbee
003e0736-add0-4997-9444-94fac606bb95,MALLAM GANA,House of Representatives,mallam-gana
93e50fab-06e9-4cf0-b24d-1af1141a06a1,MARK GBILLAH,House of Representatives,mark-gbillah
8e65e183-9e14-4029-b68b-4fa8a35d6179,MAYOWA AKINFOLARIN,House of Representatives,mayowa-akinfolarin
b4e56469-45dd-4cfd-a258-8234f0f46e2b,MOHAMMED GARBA,House of Representatives,mohammed-garba
46fddce6-2c5e-4b70-8eb4-843501b059b7,MOHAMMED MAHMUD,House of Representatives,mohammed-mahmud
deac6723-504e-48ae-b116-5b319fe8ae54,MUHAMMAD ABDU,House of Representatives,muhammad-abdu
b7d77f59-9d90-4d4a-8911-b096c921dc30,MUHAMMAD ABUBAKAR,House of Representatives,muhammad-abubakar
f9c4b3ab-5844-48d0-9a99-d550dddbdf86,MUHAMMAD BOYI,House of Representatives,muhammad-boyi
dcffcccf-4ca8-4fcb-8be4-27f7b60e4148,MUHAMMAD JEGA,House of Representatives,muhammad-jega
90f3b0fb-54e4-4e37-a65b-81beffd10257,MUHAMMAD SOBA,House of Representatives,muhammad-soba
c306f5a2-7830-4a0f-a217-03e27b096579,MUHAMMAD USMAN,House of Representatives,muhammad-usman
8a0483b2-37d2-4abf-9ac1-24bf46fb34ec,MUHAMMED GUDAJI,House of Representatives,muhammed-gudaji
8cc24ea0-7960-424e-b6c7-2f886057b775,MUHAMMED IDIRISU,House of Representatives,muhammed-idirisu
74a6dad8-d6c5-4322-8f25-35c757bebb95,MUKAILA KASSIM,House of Representatives,mukaila-kassim
557d08dc-0bc1-4129-b082-6ac8b938978a,MUNTARI DANDUTSE,House of Representatives,muntari-dandutse
e35cd9c4-a48f-4158-ba49-f3637b273e27,MUTIU SHADIMU,House of Representatives,mutiu-shadimu
4aeb2a50-a77d-42d2-b687-dc295090d2af,Marshal Sunday,House of Representatives,marshal-sunday
debf0004-e243-4def-9040-43b63b658d5e,Mohammed Danlami,House of Representatives,mohammed-danlami
090cdc38-e999-4530-af1f-f1b7ca7e4e01,Muhammed Ajanah,House of Representatives,muhammed-ajanah
18e353f3-f57f-4646-bcd6-603cdda084c2,NGORO AGIBE,House of Representatives,ngoro-agibe
726225dd-a03a-43b6-879a-414076ea6d27,NICHOLAS SHEHU,House of Representatives,nicholas-shehu
395c7580-4078-44c5-98cd-445a371e1ffe,NSE EKPENYONG,House of Representatives,nse-ekpenyong
83096a24-9560-4584-af40-d4140f2bb72c,OGBEIDE-IHAMA OMOREGIE,House of Representatives,ogbeide-ihama-omoregie
4ef095c9-3402-4491-afce-59be3ad36187,OGHENE EMMANUEL,House of Representatives,oghene-emmanuel
f8c1f144-b33e-4f31-b094-f7f7cb9d2b55,OGUNWUYI SEGUN,House of Representatives,ogunwuyi-segun
284631bd-2803-4e50-906d-846a52923a32,OKAFOR JOHN,House of Representatives,okafor-john
2ed2a5b2-882f-499d-9962-2ffc9a9e4555,OLAJIDE OLATUBOSUN,House of Representatives,olajide-olatubosun
d3fae412-fb8b-4c59-8426-10a1c3f862fd,OLAMIDE ONI,House of Representatives,olamide-oni
9d9b0610-b5f6-4f85-b6cf-d779a2aeeefe,OLARINOYE OLAYONU,House of Representatives,olarinoye-olayonu
965f94df-c963-486d-9437-a0d5e2a24e88,OLUFEMI ADEBANJO,House of Representatives,olufemi-adebanjo
dfb34e8f-f293-48a5-a492-e5591a474170,OLUFUNKE ADEDOYIN,House of Representatives,olufunke-adedoyin
421c73dc-b657-454e-93dc-80a02640a6e9,OLUGBENGA AYODE,House of Representatives,olugbenga-ayode
94f050f0-bda4-4a83-8913-db7940d66411,OLUSUNBO SAMSON,House of Representatives,olusunbo-samson
c14f9e8b-fa61-47fd-bea8-de476895373a,OLUWAROTIMI AGUNSOYE,House of Representatives,oluwarotimi-agunsoye
1a3d477f-10fe-4727-9212-d312e03bd55f,OMAR TATA,House of Representatives,omar-tata
ce5bb010-0ada-40a2-9313-4f9e1d0824af,OMOSEDE IGBINEDION,House of Representatives,omosede-igbinedion
beda968f-381d-47cb-b1a3-07806fe627d5,ONINUBUARIRI OBINNA,House of Representatives,oninubuariri-obinna
9edd9f06-4880-49fe-89c7-68c473abb384,ONWANA MUSA,House of Representatives,onwana-musa
65580dd7-a319-41b4-8e48-c88e50f5bcae,OWOIDIGHE EKPOATAI,House of Representatives,owoidighe-ekpoatai
387498db-b8e3-4110-8dfe-8952999c126d,OYEWOLE DIYA,House of Representatives,oyewole-diya
01fa4a69-45f0-42e2-812d-1a168b9356b4,Okechukwu Eze,House of Representatives,okechukwu-eze
c7e9c2f7-02b2-43e9-a57d-42f54c7e01c7,Okon Michael,House of Representatives,okon-michael
e848ce55-5b26-4ec1-9cf2-09889f0775d6,Olabode Ayorinde,House of Representatives,olabode-ayorinde
5df2ecb5-be44-435e-864c-e5df712f9006,Olemija Stephen,House of Representatives,olemija-stephen
50ec61a9-dca5-456a-8430-73b7fd89616f,PHILIP AHMAD,House of Representatives,philip-ahmad
ed9e7d80-fafb-4d0a-93f9-a73adfd765db,PHILIP SHAIBU,House of Representatives,philip-shaibu
2d5472ed-c775-4af9-9277-87c97ed667b4,PRESTIGE OSSY,House of Representatives,prestige-ossy
767961bb-6ba5-46a8-a640-3f14220519db,PWAJOK GYANG,House of Representatives,pwajok-gyang
fe1cd7cb-8c45-4886-a6ab-b93d9659979b,Peter Madubueze,House of Representatives,peter-madubueze
4dded367-aad0-426b-a20e-a84d16f78f64,RAZAK ATUNWA,House of Representatives,razak-atunwa
3438649a-0572-4d86-b47c-42b2bdcbd46a,RIMAMNDE KWEWUM,House of Representatives,rimamnde-kwewum
296f1852-72c5-4b9e-94e4-b923ff9e309d,RITA ORJI,House of Representatives,rita-orji
13690167-45a0-48c1-97f2-724e65341972,Rabiu Garba,House of Representatives,rabiu-garba
7d679377-c418-4ed0-89c3-f2992a32aa35,Randolph Brown,House of Representatives,randolph-brown
92dbd640-9b33-4732-bf85-d82c1a756326,SADIQ IBRAHIM,House of Representatives,sadiq-ibrahim
dcb0a859-5def-46d2-ab8e-22f110c9db62,SALISU KOKO,House of Representatives,salisu-koko
594f85ac-20a5-4758-bd2a-d8b28fe2d808,SAMAILA SULEIMAN,House of Representatives,samaila-suleiman
fcdd186a-3e82-4d05-8f02-32b4b30dd6f5,SAMUEL IKON,House of Representatives,samuel-ikon
e0167e52-a98b-44db-a385-e3c5b33c2969,SAMUEL ONUIGBO,House of Representatives,samuel-onuigbo
b72e517d-600f-4421-8c18-76263d959a66,SANI AMINU,House of Representatives,sani-aminu
13c712a7-44ab-4034-bbb8-30079b745cdf,SANI SAIDU,House of Representatives,sani-saidu
763b937d-40c9-4510-baca-f5dafd339965,SANI UMAR,House of Representatives,sani-umar
9ca6ab56-a7e0-4616-9e21-bed883d3e20c,SEGUN ADEKOLA,House of Representatives,segun-adekola
e01dd914-0d13-4db4-bb54-a5a88b93a5be,SERGIUS OGUN,House of Representatives,sergius-ogun
4c485a8d-f8c5-4287-8935-d4fd39f1b3f1,SHEHU SALEH,House of Representatives,shehu-saleh
559e1aad-6916-4cae-9893-c3a742157fc9,SHOYINKA OLATUNJI,House of Representatives,shoyinka-olatunji
e6bd93db-b6ce-466f-97b2-c5c42f208872,SIMON ARABO,House of Representatives,simon-arabo
a64a8a2e-8638-41aa-9a8b-b336ec53934f,SODAGUNO FESTUS-OMONI,House of Representatives,sodaguno-festus-omoni
5d985d83-c5e0-46ee-9e61-04594717a3b0,STELLA NGWU,House of Representatives,stella-ngwu
d26a7682-d75e-49e1-b44d-582374e86951,SULAIMAN ROMO,House of Representatives,sulaiman-romo
305500ed-340a-4ae1-83d3-68ead88a893c,SUNDAY OLADIMEJI,House of Representatives,sunday-oladimeji
1134b7bc-a663-415b-8340-0d688aa77e2f,Sani Mohammed,House of Representatives,sani-mohammed
2f3453b5-6567-4460-91f2-b388d1ab9099,Shehu Musa,House of Representatives,shehu-musa
e47293a7-720a-4ea0-b61f-e16c80ffb511,Shuaibu Abdulraman,House of Representatives,shuaibu-abdulraman
976be656-6c2d-461c-9b27-23ae8f307341,Sidi Yakubu,House of Representatives,sidi-yakubu
bfab36c0-a199-42da-a005-94e31066d2be,Solomon Adaelu,House of Representatives,solomon-adaelu
9c636dc2-431e-4ec9-8337-2211f6cf547e,Solomon Ahwinahwi,House of Representatives,solomon-ahwinahwi
24548ea1-20ce-44bb-8995-5ea4d27a21c5,TAJUDEEN OBASA,House of Representatives,tajudeen-obasa
b393127e-a630-43d9-8fba-0eb0f37a0e6d,TAOFEEK ADARANIJO,House of Representatives,taofeek-adaranijo
52cec1d0-75a5-44c0-acfb-038a7f4cd5a0,TARKIGHIN DICKSON,House of Representatives,tarkighin-dickson
5002acd7-8dd6-48ac-814f-c4c57a92e40a,TEMITOPE OLATOYE,House of Representatives,temitope-olatoye
71228aab-a8fa-4592-a7e8-f512b77f3c67,THADDEUS AINA,House of Representatives,thaddeus-aina
f0eb90f1-c40e-49e4-9def-75bda049c788,TIMOTHY GOLU,House of Representatives,timothy-golu
3fb0cd5c-9cbf-42e6-a26d-ccf17e49443d,Talatu Yohanna,House of Representatives,talatu-yohanna
1e32d025-0def-4efc-96c8-0d00d87de51e,Tasir Raji,House of Representatives,tasir-raji
954eaef9-c9c4-40a6-be39-25339065e6ff,Tony Nwulu,House of Representatives,tony-nwulu
9815f746-7531-4529-bdfb-1f3ba6e954bf,UCHECHIRUN NNAM-OBI,House of Representatives,uchechirun-nnam-obi
ab2e3960-7d0f-45b9-825f-35c533ebf857,UMAR MUHAMMED,House of Representatives,umar-muhammed
87fa5f5d-ea7d-4499-b032-5001192ceb68,USMAN IBRAHIM,House of Representatives,usman-ibrahim
a7d48bda-e47d-4807-a9e6-07a790800d41,USMAN SHEHU,House of Representatives,usman-shehu
0276a03a-323f-40ff-8e3f-d66f9c54bd0b,USMAN SHIDDI,House of Representatives,usman-shiddi
af34db4e-cd4c-40aa-8197-b7a7dc45847b,Ugwuegede Ikechukwu,House of Representatives,ugwuegede-ikechukwu
c460c61f-bdaf-40f5-b64f-2039604367a5,Uko Nkole,House of Representatives,uko-nkole
651299a7-ecb5-465a-8262-4cbe728ea85f,Uthman Munir,House of Representatives,uthman-munir
c2c2e02a-5840-496f-98ac-98671cdbdce6,YAHAYA CHADO,House of Representatives,yahaya-chado
dd79529c-471d-4943-b3fa-6b5a36018b75,YAKUB BALOGUN,House of Representatives,yakub-balogun
3d90055e-7223-4978-89c8-07685eb4b283,YUNUSA ABUBAKAR,House of Representatives,yunusa-abubakar
1da348a6-3c05-498c-b1b9-74ecb747be49,YUSUF BUBA,House of Representatives,yusuf-buba
d9b26731-6e74-4896-bedc-e924590fbe13,YUSUF SAIDU,House of Representatives,yusuf-saidu
d0f0b376-5c1c-4bd4-bc29-84cb9269a7be,Yusuf Tijani,House of Representatives,yusuf-tijani
77c0dd7a-dae7-461e-aa98-02dee6a79221,ZAKARI SALISU,House of Representatives,zakari-salisu
5930bf13-221b-4b11-90ae-154cabd61af8,akeem adeyemi,House of Representatives,akeem-adeyemi
fce6b6d3-4f57-42c0-bfdd-710d41a5d089,barambu kawuwa,House of Representatives,barambu-kawuwa
6e824b24-29b3-43c1-aae9-15d556e014b9,chime oji,House of Representatives,chime-oji
72be377a-ef68-44ab-a563-1958e4c74096,d. muhammad,House of Representatives,d-muhammad
bd330f95-c1b8-4ae3-af52-61e2878f249c,galadima zakariya'u,House of Representatives,galadima-zakariyau
946deeec-db1f-46b5-9769-f894f5a2b870,hassan yuguda,House of Representatives,hassan-yuguda
648d4da1-86eb-4941-9104-7c7d2dc1ce63,isah ibrahim,House of Representatives,isah-ibrahim
477b8b61-168f-47c1-b7c3-5b42c8e9453e,julius pondi,House of Representatives,julius-pondi
a3e06cab-34c9-4180-9ad3-2433bfb8ec03,michael omobgehin,House of Representatives,michael-omobgehin
bda297aa-6f98-4210-929d-c4814740dece,muhd lawal,House of Representatives,muhd-lawal
640b41f9-1e8c-41b4-8e73-ac6c95b6c8bf,olatubosun oladele,House of Representatives,olatubosun-oladele
a8bbe0eb-610d-4aaf-a783-1d39e14549c9,shriff mohammed,House of Representatives,shriff-mohammed
6b0cdd74-7960-478f-ac93-d230f486a5b9,ABARIBE ENYNNAYA,Senate,abaribe-enynnaya
d1ae196d-b203-4f62-8441-9d4bffa4566c,ABDUL ABUBAKAR,Senate,abdul-abubakar
fa3e73e7-98b9-45f8-befb-3ba0884a8783,ABUBAKAR KYARI,Senate,abubakar-kyari
0b536a2c-2bc9-46a0-8d40-0deb9241cb31,AHMAD ABUBAKAR,Senate,ahmad-abubakar
945c1a0c-c1a1-4a67-8be1-8c9e756cdf8f,AISAGBONRIODION URHOGHIDE,Senate,aisagbonriodion-urhoghide
df13478a-638f-4cec-8c58-360fc80eb1b0,ALIMIKHENA FRANCIS,Senate,alimikhena-francis
78a5c98d-8bbb-45ec-8faa-937d77a93191,ATAI USMAN,Senate,atai-usman
e344f2dd-a72b-4ca7-a259-59d8b81706fc,ATHANASIUS ACHONU,Senate,athanasius-achonu
a1f70b6d-9b33-4780-a7fc-33565da69e97,Ahmed Ogembe,Senate,ahmed-ogembe
